,runId,trId,value,timestamp
0,1.0,,,1602966738.021398
1,1.0,1.0,1.0,1602966738.4402912
2,1.0,2.0,2.0,1602966739.050175
3,1.0,3.0,10.0,1602966739.614285
4,1.0,4.0,4.0,1602966740.211031
5,1.0,5.0,2.0,1602966740.8025742
6,1.0,6.0,6.0,1602966741.4040499
7,1.0,7.0,3.0,1602966742.039006
8,1.0,8.0,9.0,1602966742.736769
9,1.0,9.0,6.0,1602966743.458484
10,1.0,10.0,2.0,1602966744.1041112
11,1.0,11.0,6.0,1602966744.802279
12,1.0,12.0,5.0,1602966745.413483
13,1.0,13.0,8.0,1602966746.011434
14,1.0,14.0,5.0,1602966746.728297
15,1.0,15.0,3.0,1602966747.3053088
16,1.0,16.0,2.0,1602966747.90241
17,1.0,17.0,3.0,1602966748.51515
18,1.0,18.0,7.0,1602966749.3022342
19,1.0,19.0,3.0,1602966750.004355
20,1.0,20.0,9.0,1602966750.706042
21,1.0,21.0,7.0,1602966751.3371441
22,1.0,22.0,3.0,1602966751.907276
23,1.0,23.0,2.0,1602966752.508478
24,1.0,24.0,1.0,1602966753.11273
25,1.0,25.0,8.0,1602966753.617374
26,1.0,26.0,10.0,1602966754.4051552
27,1.0,27.0,2.0,1602966755.102646
28,1.0,28.0,2.0,1602966755.7278001
29,1.0,29.0,2.0,1602966756.5022762
30,1.0,30.0,1.0,1602966757.101017
31,1.0,31.0,7.0,1602966757.801813
32,1.0,32.0,1.0,1602966758.500454
33,1.0,33.0,3.0,1602966759.1188831
34,1.0,34.0,9.0,1602966759.8017862
35,1.0,35.0,2.0,1602966760.503541
36,1.0,36.0,9.0,1602966761.202111
37,1.0,37.0,4.0,1602966761.920514
38,1.0,38.0,1.0,1602966762.6022348
39,1.0,39.0,5.0,1602966763.216949
40,1.0,40.0,9.0,1602966763.933053
41,1.0,41.0,8.0,1602966764.5001678
42,1.0,42.0,8.0,1602966765.209273
43,1.0,43.0,10.0,1602966765.901854
44,1.0,44.0,8.0,1602966766.6102989
45,1.0,45.0,3.0,1602966767.2206998
46,1.0,46.0,5.0,1602966767.9218628
47,1.0,47.0,3.0,1602966768.603145
48,1.0,48.0,6.0,1602966769.257849
49,1.0,49.0,1.0,1602966769.912873
50,1.0,50.0,6.0,1602966770.514011
51,1.0,51.0,7.0,1602966771.201962
52,1.0,52.0,6.0,1602966771.902268
53,1.0,53.0,2.0,1602966772.6078532
54,1.0,54.0,5.0,1602966773.30923
55,1.0,55.0,2.0,1602966774.0052722
56,1.0,56.0,10.0,1602966774.7026272
57,1.0,57.0,3.0,1602966775.40599
58,1.0,58.0,4.0,1602966776.1017861
59,1.0,59.0,6.0,1602966776.736922
60,1.0,60.0,7.0,1602966777.319906
61,1.0,61.0,1.0,1602966778.005107
62,1.0,62.0,9.0,1602966778.7019498
63,1.0,63.0,6.0,1602966779.406166
64,1.0,64.0,4.0,1602966780.10198
